,month,day,hour,weekday,avg_hrly_temp
1417,11,27,0,2,20.25
1419,11,27,1,2,20.15
1421,11,27,2,2,20.1
1423,11,27,3,2,19.9
1425,11,27,4,2,19.799999999999997
1427,11,27,5,2,19.7
1429,11,27,6,2,19.6
1431,11,27,7,2,19.45
1433,11,27,8,2,19.35
1435,11,27,9,2,19.2
1437,11,27,10,2,19.1
1439,11,27,11,2,19.1
1441,11,27,12,2,19.1
1443,11,27,13,2,19.15
1445,11,27,14,2,19.15
1447,11,27,15,2,19.2
1449,11,27,16,2,19.2
1451,11,27,17,2,19.25
1453,11,27,18,2,19.25
1455,11,27,19,2,19.3
1457,11,27,20,2,19.3
1459,11,27,21,2,19.4
1461,11,27,22,2,19.4
1463,11,27,23,2,19.4
1465,11,28,0,3,19.4
1467,11,28,1,3,19.35
1469,11,28,2,3,19.3
1471,11,28,3,3,19.3
1473,11,28,4,3,19.2
1475,11,28,5,3,19.1
1477,11,28,6,3,19.0
1479,11,28,7,3,18.95
1481,11,28,8,3,18.8
1483,11,28,9,3,18.75
1485,11,28,10,3,18.55
1487,11,28,11,3,18.5
1489,11,28,12,3,18.35
1491,11,28,13,3,18.3
1493,11,28,14,3,18.2
1495,11,28,15,3,18.1
1497,11,28,16,3,18.0
1499,11,28,17,3,17.85
1501,11,28,18,3,17.700000000000003
1503,11,28,19,3,17.45
1505,11,28,20,3,17.299999999999997
1507,11,28,21,3,17.05
1509,11,28,22,3,16.95
1511,11,28,23,3,16.75
1513,11,29,0,4,16.5
1515,11,29,1,4,16.35
1517,11,29,2,4,16.2
1519,11,29,3,4,16.0
1521,11,29,4,4,15.9
1523,11,29,5,4,15.75
1525,11,29,6,4,15.649999999999999
1527,11,29,7,4,15.6
1529,11,29,8,4,15.45
1531,11,29,9,4,15.3
1533,11,29,10,4,15.3
1535,11,29,11,4,15.3
1537,11,29,12,4,15.25
1539,11,29,13,4,15.2
1541,11,29,14,4,15.2
1543,11,29,15,4,15.2
1545,11,29,16,4,15.25
1547,11,29,17,4,15.25
1549,11,29,18,4,15.2
1551,11,29,19,4,15.2
1553,11,29,20,4,15.2
1555,11,29,21,4,15.05
1557,11,29,22,4,15.0
1559,11,29,23,4,14.95
1561,11,30,0,5,14.7
1563,11,30,1,5,14.75
1565,11,30,2,5,14.45
1567,11,30,3,5,14.3
1569,11,30,4,5,14.149999999999999
1571,11,30,5,5,14.05
1573,11,30,6,5,13.850000000000001
1575,11,30,7,5,13.6
1577,11,30,8,5,13.6
1579,11,30,9,5,13.350000000000001
1581,11,30,10,5,13.3
1583,11,30,11,5,13.25
1585,11,30,12,5,13.3
1587,11,30,13,5,13.3
1589,11,30,14,5,13.4
1591,11,30,15,5,13.55
1593,12,2,8,0,16.5
1594,12,2,9,0,14.95
1596,12,2,10,0,14.850000000000001
1598,12,2,11,0,14.8
1600,12,2,12,0,14.8
1602,12,2,13,0,14.649999999999999
1604,12,2,14,0,14.7
1606,12,2,15,0,14.6
1608,12,2,16,0,14.55
1610,12,2,17,0,14.4
1612,12,2,18,0,14.25
1614,12,2,19,0,14.1
1616,12,2,20,0,13.9
1618,12,2,21,0,13.6
1620,12,2,22,0,13.55
1622,12,2,23,0,13.55
1624,12,3,0,1,13.45
1626,12,3,1,1,13.4
1628,12,3,2,1,13.4
1630,12,3,3,1,13.350000000000001
1632,12,3,4,1,13.3
1634,12,3,5,1,13.3
1636,12,3,6,1,13.25
1638,12,3,7,1,13.35
1640,12,3,8,1,13.649999999999999
1642,12,3,9,1,13.55
1644,12,3,10,1,13.55
1646,12,3,11,1,13.6
1648,12,3,12,1,13.7
1650,12,3,13,1,13.75
1652,12,3,14,1,13.8
1654,12,3,15,1,13.850000000000001
1656,12,3,16,1,13.9
1658,12,3,17,1,13.9
1660,12,3,18,1,13.95
1662,12,3,19,1,14.0
1664,12,3,20,1,14.0
1666,12,3,21,1,14.1
1668,12,3,22,1,14.2
1670,12,3,23,1,14.25
1672,12,4,0,2,14.350000000000001
1674,12,4,1,2,14.4
1676,12,4,2,2,14.350000000000001
1678,12,4,3,2,14.4
1680,12,4,4,2,14.45
1682,12,4,5,2,14.5
1684,12,4,6,2,14.5
1686,12,4,7,2,14.65
1688,12,4,8,2,14.8
1690,12,4,9,2,14.75
1692,12,4,10,2,14.8
1694,12,4,11,2,14.9
1696,12,4,12,2,14.95
1698,12,4,13,2,15.05
1700,12,4,14,2,15.3
1702,12,4,15,2,15.4
1704,12,4,16,2,15.55
1706,12,4,17,2,15.649999999999999
1708,12,4,18,2,15.75
1710,12,4,19,2,15.850000000000001
1712,12,4,20,2,15.95
1714,12,4,21,2,16.1
1716,12,4,22,2,16.15
1718,12,4,23,2,16.4
1720,12,5,0,3,16.45
1722,12,5,1,3,16.6
1724,12,5,2,3,16.6
1726,12,5,3,3,16.55
1728,12,5,4,3,16.6
1730,12,5,5,3,16.6
1732,12,5,6,3,16.65
1734,12,5,7,3,16.6
1736,12,5,8,3,16.65
1738,12,5,9,3,16.9
1740,12,5,10,3,17.1
1742,12,5,11,3,17.1
1744,12,5,12,3,17.2
1746,12,5,13,3,17.2
1748,12,5,14,3,17.2
1750,12,5,15,3,17.25
1752,12,5,16,3,17.25
1754,12,5,17,3,17.25
1756,12,5,18,3,17.25
1758,12,5,19,3,17.1
1760,12,5,20,3,17.05
1762,12,5,21,3,16.85
1764,12,5,22,3,16.8
1766,12,5,23,3,16.7
1768,12,6,0,4,16.6
1770,12,6,1,4,16.35
